CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
28/01/1980  0.1    0.4    24     9 
29/01/1980  0      0.6    25     9 
30/01/1980  0      0.8    25     9 
31/01/1980  1.7    0.5    25     9 
01/02/1980  0      0.6    24     9 
02/02/1980  1.6    0.6    24     9 
03/02/1980  1.2    0.3    24     9 
04/02/1980  0      1.2    24     8.5 
05/02/1980  0      1.6    24     9 
06/02/1980  0      0.9    24     9 
07/02/1980  0      1.1    22     9 
08/02/1980  0      3.9    22     9 
09/02/1980  1.3    2.9    23     9 
10/02/1980  8.5    0.3    25     8.5 
11/02/1980  0.1    1      25     8.5 
12/02/1980  0.1    1      24     9 
13/02/1980  0      0.2    23     8 
14/02/1980  0      1.2    24     9 
15/02/1980  0      1.8    25     9 
16/02/1980  1.5    3.6    29     9 
17/02/1980  2      1.9    29     9 
18/02/1980  0.1    1.4    28     9.5 
19/02/1980  0      1.8    28     9.5 
20/02/1980  0      1.9    29     9.5 
21/02/1980  0      2.1    31     9.5 
22/02/1980  0      2.1    30     10 
23/02/1980  0      1.8    29     10 
24/02/1980  3.6    2.3    36     10 
25/02/1980  6.6    1.9    30     10 
26/02/1980  1.7    1.1    29     10 
27/02/1980  1.1    0.9    28     9.5 
28/02/1980  0      1.1    28.5   10 
29/02/1980  0      1.3    28     10 
01/03/1980  0      1.2    28     9 
02/03/1980  0      0.6    28     9 
03/03/1980  0      1.1    28     10 
04/03/1980  0      0.2    28     10 
05/03/1980  0.2    0.4    30     10 
06/03/1980  0      1.6    28.5   9 
07/03/1980  0      0.9    28     8.5 
08/03/1980  0      1.9    30     8 
09/03/1980  0      2.2    31     8 
10/03/1980  0      0.9    32     8 
11/03/1980  0      3.9    32     8 
12/03/1980  0      1.3    34     8 
13/03/1980  0      2.4    38     8 
14/03/1980  0      3.8    32     8 
15/03/1980  0      4.3    33     8 
16/03/1980  0      1.1    32     8 
17/03/1980  0.5    1.6    33     8 
18/03/1980  0      3.6    32     8.5 
19/03/1980  0      3.7    32     8 
20/03/1980  0.6    2.6    30     8.5 
21/03/1980  0      2.1    32     8.5 
22/03/1980  0      1.5    31     8.9 
23/03/1980  0      3.5    31     8.5 
24/03/1980  0      1.5    30     8.5 
25/03/1980  0.3    2.9    31     8.5 
26/03/1980  0      1.5    32     8.5 
27/03/1980  0      1.7    32     8.5 
28/03/1980  0      3.5    33     9 
29/03/1980  0      1.6    33     9 
30/03/1980  4.9    1.4    33     9 
31/03/1980  0      0.5    34     9 
01/04/1980  0      3.6    34     9 
02/04/1980  0      3.1    34     9 
03/04/1980  0      2.2    34     9 
04/04/1980  0      1.8    34     9 
05/04/1980  8.7    2      33     9 
06/04/1980  0      4.3    33     9 
07/04/1980  3.2    5.1    33     9 
08/04/1980  0      3.6    33     9 
09/04/1980  7.5    0.8    33     9 
10/04/1980  0      2.1    33     9 
11/04/1980  0      3.2    31     9 
12/04/1980  0      6.3    34     9 
13/04/1980  2.7    2.3    32     9 
14/04/1980  2.1    1.8    32     9 
15/04/1980  1.4    0.6    36.5   9 
16/04/1980  0.9    0.3    36     9 
17/04/1980  1.7    2.2    36     9 
18/04/1980  1.1    1.5    36     9 
19/04/1980  1.1    0.5    35     9 
20/04/1980  0      1.5    34     9 
